Region,Model,Avg_Forecast_Deliveries
Middle East,Model Y,16600.23
Europe,Model 3,16410.387
Asia,Model Y,14464.703
Asia,Model X,13418.361
Asia,Model S,13068.037
North America,Model 3,12333.91
Middle East,Cybertruck,11830.752
Europe,Model S,11535.919
Middle East,Model 3,11299.528
North America,Model S,9875.784
North America,Cybertruck,9754.282
Middle East,Model S,9590.332
Middle East,Model X,9459.274
Europe,Cybertruck,9335.532
Asia,Model 3,8659.109
North America,Model Y,7902.3296
Asia,Cybertruck,7327.449
North America,Model X,6621.45
Europe,Model Y,5876.9194
Europe,Model X,4593.2725
